Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NABIL,8/14/2025,524.1,526.5,523.1,523.82,0.04%,"47,263.00","24,778,523.10"
NABIL,8/13/2025,523,524.9,522,523.63,-0.23%,"50,014.00","26,191,841.40"
NABIL,8/12/2025,530,534.5,524.2,524.86,-0.27%,"79,172.00","41,718,059.20"
NABIL,8/11/2025,533,534,525,526.3,-0.20%,"69,423.00","36,644,323.00"
NABIL,8/7/2025,534.9,534.9,525.6,527.36,0.27%,"63,502.00","33,510,621.60"
NABIL,8/6/2025,530,530,523,525.93,-0.34%,"48,952.00","25,755,132.80"
NABIL,8/5/2025,517.5,540,517.5,527.73,-0.05%,"91,553.00","48,640,299.20"
NABIL,8/4/2025,524.4,532,519,527.97,0.68%,"103,313.00","54,318,530.10"
NABIL,8/3/2025,536,538,522.5,524.4,-2.25%,"166,184.00","87,771,702.40"
NABIL,7/31/2025,540.1,548.2,535,536.48,-1.60%,"110,940.00","59,709,752.80"
NABIL,7/30/2025,550.7,555,545,545.18,-0.61%,"115,662.00","63,522,477.00"
NABIL,7/29/2025,547,552,545,548.55,1.50%,"142,244.00","78,087,885.10"
NABIL,7/28/2025,545.5,547,536,540.43,-1.35%,"183,214.00","98,869,241.30"
NABIL,7/27/2025,550,554,545.1,547.84,-0.04%,"147,629.00","81,220,703.60"
NABIL,7/24/2025,552,556,547.1,548.08,-0.60%,"95,913.00","52,752,517.70"
NABIL,7/23/2025,543.6,562,543.6,551.41,-0.58%,"132,486.00","73,160,306.90"
NABIL,7/22/2025,545.2,555.5,545.2,554.63,1.73%,"172,337.00","94,837,467.60"
NABIL,7/21/2025,550,554,540,545.21,-0.83%,"126,936.00","69,339,704.90"
NABIL,7/20/2025,550,560,548,549.77,0.20%,"233,008.00","129,064,235.30"
NABIL,7/17/2025,545,554,542.2,548.66,1.35%,"192,877.00","106,084,134.40"
NABIL,7/16/2025,530,543.6,530,541.37,2.18%,"260,180.00","140,412,352.70"
NABIL,7/15/2025,524,530,515,529.8,1.45%,"136,308.00","71,047,008.50"
NABIL,7/14/2025,538,538,521.1,522.22,-2.53%,"165,976.00","87,288,350.20"
NABIL,7/13/2025,521.3,537.5,521.3,535.77,4.81%,"270,279.00","143,508,273.30"
NABIL,7/10/2025,503,522,500,511.17,2.44%,"264,663.00","134,931,549.60"
NABIL,7/9/2025,500,500,495.2,499.01,0.72%,"42,721.00","21,258,926.60"
NABIL,7/8/2025,500,500,493,495.46,-0.32%,"33,006.00","16,372,932.90"
NABIL,7/7/2025,500,503,496.3,497.07,-0.76%,"36,175.00","18,021,743.10"
NABIL,7/6/2025,506,506.8,499.1,500.89,0.54%,"64,130.00","32,160,033.70"
NABIL,7/3/2025,491.1,500,490,498.22,0.66%,"91,180.00","45,234,332.10"
NABIL,7/2/2025,494.5,495.8,491,494.96,0.64%,"55,089.00","27,202,962.40"
NABIL,7/1/2025,496.4,496.4,491,491.79,0.00%,"35,495.00","17,476,977.90"
NABIL,6/30/2025,490.1,493.1,490.1,491.81,0.41%,"37,425.00","18,421,945.10"
NABIL,6/29/2025,482,490,482,489.82,0.80%,"40,790.00","19,855,309.40"
NABIL,6/26/2025,486,488.5,485.1,485.95,-0.06%,"33,097.00","16,101,679.80"
NABIL,6/25/2025,488,488.9,481,486.24,-0.22%,"24,807.00","12,047,864.20"
NABIL,6/24/2025,489,493,483.2,487.3,-0.01%,"54,280.00","26,444,244.90"
NABIL,6/23/2025,489.9,489.9,485,487.35,-0.34%,"30,576.00","14,888,929.00"
NABIL,6/22/2025,493,493,485,488.99,-0.01%,"47,834.00","23,346,142.00"
NABIL,6/19/2025,494.8,494.8,487,489.04,-0.19%,"78,016.00","38,171,293.10"
NABIL,6/18/2025,490,492,488,489.97,0.20%,"44,689.00","21,873,393.40"
NABIL,6/17/2025,490,492,487.1,488.99,-0.33%,"36,559.00","17,876,245.80"
NABIL,6/16/2025,497,497,489,490.59,-0.03%,"48,455.00","23,792,554.90"
NABIL,6/15/2025,495,495,490,490.73,0.26%,"43,276.00","21,256,612.50"
NABIL,6/12/2025,493,493,488.3,489.44,-0.18%,"53,316.00","26,126,194.50"
NABIL,6/11/2025,495,495,490,490.34,-0.29%,"39,951.00","19,627,959.60"
NABIL,6/10/2025,494.9,494.9,490,491.77,0.17%,"38,403.00","18,891,832.90"
NABIL,6/9/2025,489.9,494.9,489,490.93,0.26%,"29,647.00","14,585,465.20"
NABIL,6/8/2025,490,495,489,489.65,-0.55%,"50,694.00","24,865,295.40"
NABIL,6/5/2025,498,498,489,492.37,0.26%,"47,113.00","23,160,435.10"
NABIL,6/4/2025,499,499,490,491.11,-1.27%,"48,051.00","23,650,135.00"
NABIL,6/3/2025,505.9,505.9,495,497.45,-0.66%,"54,808.00","27,320,373.90"
NABIL,6/2/2025,510.4,510.4,500.1,500.78,0.07%,"73,634.00","37,032,517.50"
NABIL,5/28/2025,501.9,501.9,494,500.42,0.79%,"66,059.00","32,927,625.30"
NABIL,5/27/2025,498,498.1,493.6,496.48,-0.32%,"33,750.00","16,728,470.20"
NABIL,5/26/2025,506.6,516,496.1,498.07,0.27%,"87,620.00","43,957,960.70"
NABIL,5/25/2025,509.5,510,495,496.75,-0.56%,"108,411.00","54,020,885.70"
NABIL,5/22/2025,499.5,503,494.6,499.55,1.08%,"71,455.00","35,662,859.30"
NABIL,5/21/2025,497.9,527,492.5,494.21,1.24%,"91,325.00","45,723,449.60"
NABIL,5/20/2025,482.6,489,481,488.16,1.16%,"43,243.00","20,974,647.60"
NABIL,5/19/2025,488,488,479.9,482.58,0.43%,"42,039.00","20,293,353.50"
NABIL,5/18/2025,483,485,479,480.49,-0.34%,"37,266.00","17,902,061.60"
NABIL,5/15/2025,485,486,481.5,482.11,-0.36%,"47,247.00","22,844,525.90"
NABIL,5/14/2025,490,490,482,483.85,-0.73%,"25,028.00","12,122,585.60"
NABIL,5/13/2025,488,493.6,481,487.41,0.36%,"65,061.00","31,585,532.70"
NABIL,5/11/2025,490,490,484.5,485.65,0.62%,"44,892.00","21,799,860.50"
NABIL,5/8/2025,490,490,480.5,482.64,-0.14%,"54,724.00","26,424,061.90"
NABIL,5/7/2025,477,485,474.1,483.31,1.34%,"66,388.00","31,828,953.00"
NABIL,5/6/2025,478,484,475.1,476.94,-0.27%,"39,968.00","19,059,469.10"
NABIL,5/5/2025,478,481,477,478.25,-0.01%,"39,597.00","18,946,454.80"
NABIL,5/4/2025,480,487.4,477,478.32,0.03%,"44,594.00","21,378,606.20"
NABIL,4/30/2025,480,487,478,478.18,-0.68%,"49,915.00","23,920,163.40"
NABIL,4/29/2025,480,488,480,481.45,0.03%,"29,998.00","14,451,570.20"
NABIL,4/28/2025,485.3,487.9,480.6,481.3,-0.76%,"45,746.00","22,048,192.70"
