Symbol,Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NIMB,NIMB,8/14/2025,222,222,215.1,216.15,-1.03%,"146,232.00","31,737,954.60"
NIMB,NIMB,8/13/2025,221,222,218,218.41,-1.06%,"89,639.00","19,714,421.10"
NIMB,NIMB,8/12/2025,221.2,224.9,220.2,220.74,-0.65%,"78,271.00","17,317,908.70"
NIMB,NIMB,8/11/2025,229,232,222,222.18,-1.41%,"147,981.00","33,254,137.00"
NIMB,NIMB,8/7/2025,230,230,224.1,225.35,-0.10%,"122,290.00","27,560,584.10"
NIMB,NIMB,8/6/2025,229,229,223.1,225.57,0.05%,"99,510.00","22,430,805.40"
NIMB,NIMB,8/5/2025,234,234.9,225,225.46,-1.89%,"167,156.00","38,162,797.20"
NIMB,NIMB,8/4/2025,225.3,233,224,229.8,1.65%,"261,907.00","59,493,200.90"
NIMB,NIMB,8/3/2025,230,232.9,225.1,226.06,-2.74%,"315,905.00","72,067,185.20"
NIMB,NIMB,7/31/2025,241,241,232,232.44,-1.75%,"240,464.00","56,291,692.80"
NIMB,NIMB,7/30/2025,247,247,236,236.58,-2.50%,"307,591.00","73,711,159.10"
NIMB,NIMB,7/29/2025,241.1,244.6,236,242.64,2.65%,"729,789.00","176,675,656.40"
NIMB,NIMB,7/28/2025,239.5,239.5,230,236.38,0.55%,"316,952.00","74,062,817.30"
NIMB,NIMB,7/27/2025,239,241.5,233.7,235.09,0.11%,"490,176.00","116,776,781.90"
NIMB,NIMB,7/24/2025,235,238,232,234.83,-0.34%,"286,965.00","67,147,595.60"
NIMB,NIMB,7/23/2025,241.5,241.5,233.4,235.63,-0.51%,"219,359.00","51,787,587.00"
NIMB,NIMB,7/22/2025,230.1,237.6,230.1,236.83,2.43%,"391,436.00","92,107,569.20"
NIMB,NIMB,7/21/2025,230.5,234,228,231.21,0.33%,"352,670.00","81,351,548.20"
NIMB,NIMB,7/20/2025,240,240,230,230.46,-2.26%,"523,305.00","122,345,128.50"
NIMB,NIMB,7/17/2025,235,238.6,232,235.78,2.06%,"429,891.00","101,566,743.10"
NIMB,NIMB,7/16/2025,230,234.9,228.1,231.02,1.59%,"286,630.00","66,508,091.60"
NIMB,NIMB,7/15/2025,223,228,218,227.4,1.65%,"497,887.00","110,886,708.40"
NIMB,NIMB,7/14/2025,227.9,233,222,223.7,-3.80%,"463,245.00","104,285,615.60"
NIMB,NIMB,7/13/2025,228,237,228,232.53,4.03%,"470,356.00","108,825,404.40"
NIMB,NIMB,7/10/2025,217.2,224,216,223.53,3.52%,"476,523.00","105,878,491.10"
NIMB,NIMB,7/9/2025,211.2,216.9,211.2,215.93,1.29%,"93,032.00","19,968,542.70"
NIMB,NIMB,7/8/2025,212.8,215,211.5,213.18,-0.66%,"41,974.00","8,942,961.10"
NIMB,NIMB,7/7/2025,219.5,219.5,213.6,214.6,-0.30%,"97,497.00","20,925,490.30"
NIMB,NIMB,7/6/2025,216,218.5,214.5,215.24,-0.29%,"85,090.00","18,365,765.30"
NIMB,NIMB,7/3/2025,221.1,221.1,214.5,215.87,-0.45%,"115,735.00","24,997,683.90"
NIMB,NIMB,7/2/2025,211.6,217.9,211.6,216.84,1.62%,"169,264.00","36,528,690.50"
NIMB,NIMB,7/1/2025,210.8,214,210.8,213.39,0.48%,"105,974.00","22,551,430.70"
NIMB,NIMB,6/30/2025,217.1,217.1,210.7,212.38,-0.25%,"123,764.00","26,304,718.30"
NIMB,NIMB,6/29/2025,206.8,214,205.1,212.92,2.92%,"122,808.00","25,686,743.00"
NIMB,NIMB,6/26/2025,207,210,204.9,206.87,0.32%,"68,210.00","14,132,921.30"
NIMB,NIMB,6/25/2025,208,209.9,205.5,206.2,-0.58%,"64,495.00","13,364,291.10"
NIMB,NIMB,6/24/2025,208,210.7,205.8,207.41,0.56%,"98,078.00","20,435,631.20"
NIMB,NIMB,6/23/2025,208.9,208.9,204,206.26,0.68%,"92,568.00","19,021,355.20"
NIMB,NIMB,6/22/2025,206.2,208,204,204.86,-1.26%,"168,623.00","34,593,315.30"
NIMB,NIMB,6/19/2025,210,211,207,207.47,-0.68%,"86,450.00","18,025,372.70"
NIMB,NIMB,6/18/2025,209,210.3,208.5,208.89,-0.46%,"73,998.00","15,484,586.70"
NIMB,NIMB,6/17/2025,213,213,209.6,209.85,-0.25%,"45,438.00","9,549,984.20"
NIMB,NIMB,6/16/2025,210,212,208.4,210.37,0.55%,"102,091.00","21,507,813.20"
NIMB,NIMB,6/15/2025,205.3,213,205.3,209.22,-0.11%,"76,015.00","15,947,546.30"
NIMB,NIMB,6/12/2025,211.1,212,209,209.46,-0.80%,"97,029.00","20,345,368.20"
NIMB,NIMB,6/11/2025,212.1,214,210,211.15,-0.39%,"80,893.00","17,098,895.10"
