Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NRIC,8/14/2025,1569.9,1602,1530.8,1593.55,3.53%,"297,810.00","471,713,298.00"
NRIC,8/13/2025,1554,1557.9,1532,1539.16,0.02%,"118,995.00","183,770,361.60"
NRIC,8/12/2025,1560,1577.9,1532,1538.87,-0.94%,"172,139.00","267,755,293.80"
NRIC,8/11/2025,1530,1583,1525,1553.4,2.24%,"236,341.00","366,053,235.60"
NRIC,8/7/2025,1463,1537,1463,1519.31,1.85%,"150,518.00","228,748,515.00"
NRIC,8/6/2025,1454,1520,1454,1491.75,0.56%,"126,020.00","189,088,734.30"
NRIC,8/5/2025,1550,1550,1482,1483.42,-3.25%,"139,609.00","209,036,887.50"
NRIC,8/4/2025,1530,1555,1490,1533.22,0.15%,"208,060.00","316,275,424.30"
NRIC,8/3/2025,1615,1615,1515,1530.85,-4.87%,"478,882.00","753,964,865.90"
NRIC,7/31/2025,1660,1691,1592.5,1609.19,-1.20%,"462,490.00","753,513,588.40"
NRIC,7/30/2025,1629,1665,1602,1628.79,1.69%,"331,806.00","543,576,033.70"
NRIC,7/29/2025,1585,1630,1565,1601.66,2.75%,"353,764.00","569,214,189.70"
NRIC,7/28/2025,1581,1601,1550,1558.78,-2.03%,"256,169.00","402,449,976.20"
NRIC,7/27/2025,1600,1605,1583,1591.1,-0.49%,"532,878.00","850,214,145.90"
NRIC,7/24/2025,1587,1600,1560.2,1598.96,0.76%,"304,317.00","483,257,682.70"
NRIC,7/23/2025,1552,1591,1530,1586.86,2.32%,"349,910.00","552,782,341.90"
NRIC,7/22/2025,1496,1560,1460,1550.88,3.73%,"472,997.00","718,885,745.50"
NRIC,7/21/2025,1491.3,1521,1435,1495.12,2.26%,"511,589.00","756,646,307.40"
NRIC,7/20/2025,1390,1469,1366,1462.1,6.91%,"690,876.00","985,552,989.70"
NRIC,7/17/2025,1235,1375,1235,1367.57,8.53%,"626,380.00","844,273,648.60"
NRIC,7/16/2025,1260,1283,1250,1260.11,0.04%,"102,254.00","129,472,578.70"
NRIC,7/15/2025,1279,1283.6,1255.2,1259.64,0.09%,"72,538.00","91,433,388.90"
NRIC,7/14/2025,1299.9,1300,1254,1258.51,-2.67%,"83,006.00","105,446,609.30"
NRIC,7/13/2025,1333.2,1333.2,1281,1292.98,-1.08%,"136,991.00","177,950,972.70"
NRIC,7/10/2025,1340.9,1340.9,1291,1307.12,-0.58%,"113,271.00","148,041,841.50"
NRIC,7/9/2025,1283.6,1334.5,1283.6,1314.68,0.37%,"216,442.00","284,153,164.30"
NRIC,7/8/2025,1306,1321.9,1276,1309.79,-0.94%,"394,548.00","516,719,545.30"
NRIC,7/7/2025,1335.7,1335.7,1303,1322.27,0.97%,"611,131.00","807,056,451.80"
NRIC,7/6/2025,1270,1311.3,1246.1,1309.59,4.83%,"380,586.00","494,008,485.00"
NRIC,7/3/2025,1220.5,1280,1220.5,1249.24,0.31%,"98,232.00","123,283,951.30"
NRIC,7/2/2025,1235,1254.8,1227,1245.4,0.57%,"52,263.00","65,004,562.10"
NRIC,7/1/2025,1217.1,1250,1217.1,1238.37,0.75%,"33,785.00","41,694,463.70"
NRIC,6/30/2025,1250,1254,1225,1229.16,-0.75%,"38,401.00","47,424,253.20"
NRIC,6/29/2025,1203,1265,1203,1238.48,2.51%,"81,448.00","101,264,894.20"
NRIC,6/26/2025,1205,1230,1202,1208.2,0.10%,"36,726.00","44,443,527.20"
NRIC,6/25/2025,1200,1223.3,1200,1206.95,-0.48%,"33,080.00","39,942,697.60"
NRIC,6/24/2025,1229.9,1233,1210.1,1212.82,-0.41%,"26,430.00","32,271,374.50"
NRIC,6/23/2025,1229.5,1230,1213,1217.83,-0.32%,"25,510.00","31,093,593.90"
NRIC,6/22/2025,1215,1235,1215,1221.79,-0.23%,"67,534.00","82,736,532.30"
NRIC,6/19/2025,1221,1269,1221,1224.63,-1.65%,"60,273.00","74,347,494.50"
NRIC,6/18/2025,1235,1258,1232,1245.2,0.63%,"42,562.00","52,924,920.90"
NRIC,6/17/2025,1259.1,1259.1,1235.1,1237.38,-0.48%,"34,152.00","42,433,351.20"
NRIC,6/16/2025,1231,1265,1231,1243.32,-0.95%,"56,581.00","70,943,874.70"
NRIC,6/15/2025,1260,1270,1250,1255.23,-0.70%,"60,833.00","76,706,986.40"
NRIC,6/12/2025,1277,1277,1254,1264.13,-0.53%,"96,075.00","121,271,601.30"
NRIC,6/11/2025,1300,1300,1265,1270.83,-2.26%,"92,189.00","118,103,291.20"
NRIC,6/10/2025,1292.9,1305,1285.4,1300.15,0.62%,"209,514.00","272,442,844.60"
NRIC,6/9/2025,1239,1293.9,1205,1292.08,6.14%,"224,958.00","287,645,124.40"
NRIC,6/8/2025,1208,1235.1,1208,1217.38,-1.19%,"54,882.00","67,047,012.10"
NRIC,6/5/2025,1221.7,1264.8,1221.7,1232.04,-1.17%,"57,411.00","71,174,960.50"
NRIC,6/4/2025,1285.1,1285.1,1242.1,1246.61,-1.06%,"36,254.00","45,348,554.10"
NRIC,6/3/2025,1255,1299,1255,1259.94,-1.61%,"55,182.00","70,083,518.90"
NRIC,6/2/2025,1291.4,1300,1272,1280.58,1.14%,"111,132.00","143,083,244.00"
NRIC,5/28/2025,1241,1288.9,1241,1266.1,0.01%,"80,811.00","102,369,769.10"
NRIC,5/27/2025,1263,1278.9,1261.2,1265.94,-0.40%,"82,233.00","104,221,264.40"
NRIC,5/26/2025,1308.2,1309,1264,1271.02,-0.90%,"113,236.00","145,457,538.90"
NRIC,5/25/2025,1304,1304,1276.2,1282.56,-1.46%,"99,319.00","127,654,275.20"
NRIC,5/22/2025,1328,1330,1274,1301.52,-0.51%,"245,616.00","319,120,548.50"
NRIC,5/21/2025,1350.8,1350.8,1275.1,1308.2,-1.22%,"275,796.00","360,901,847.40"
NRIC,5/20/2025,1313,1328,1300,1324.32,0.86%,"178,271.00","235,230,207.50"
NRIC,5/19/2025,1296,1344,1280,1313.06,1.34%,"385,095.00","510,715,143.20"
NRIC,5/18/2025,1172,1300,1172,1295.69,8.41%,"552,942.00","703,750,731.30"
NRIC,5/15/2025,1220,1225,1185.1,1195.15,-2.21%,"75,509.00","90,832,708.60"
NRIC,5/14/2025,1155.2,1229,1146,1222.19,5.66%,"188,235.00","227,003,509.70"
NRIC,5/13/2025,1194,1194,1151,1156.72,-1.26%,"72,650.00","84,684,821.20"
NRIC,5/11/2025,1180,1218.9,1165,1171.45,-2.63%,"108,318.00","128,704,627.80"
NRIC,5/8/2025,1241,1241,1200,1203.15,-2.66%,"57,478.00","69,727,505.20"
NRIC,5/7/2025,1205,1244,1202,1236.04,2.68%,"70,544.00","86,228,590.10"
NRIC,5/6/2025,1202,1249.9,1201.9,1203.73,-1.79%,"78,721.00","95,352,391.30"
NRIC,5/5/2025,1201,1242.5,1201,1225.65,0.09%,"55,673.00","68,635,444.30"
NRIC,5/4/2025,1206.7,1254,1206.7,1224.59,-0.54%,"59,730.00","73,469,303.70"
NRIC,4/30/2025,1218.6,1264,1218.6,1231.25,-0.97%,"90,177.00","111,433,952.70"
NRIC,4/29/2025,1231.9,1276,1231.9,1243.37,-1.09%,"83,642.00","104,775,636.60"
NRIC,4/28/2025,1231,1294,1231,1257.02,0.08%,"110,083.00","140,062,236.90"
NRIC,4/27/2025,1280,1294,1250,1255.99,-1.66%,"154,409.00","196,140,698.00"
NRIC,4/24/2025,1280.4,1293,1255,1277.16,-0.25%,"102,212.00","130,473,966.60"
NRIC,4/23/2025,1308,1315,1270.1,1280.4,-2.18%,"183,173.00","237,323,497.80"
NRIC,4/22/2025,1225,1320,1225,1308.94,4.83%,"280,652.00","356,469,210.20"
NRIC,4/21/2025,1246.3,1290,1245.4,1248.69,-1.80%,"128,970.00","162,081,704.80"
NRIC,4/20/2025,1295,1308.9,1270,1271.64,-1.45%,"108,782.00","139,513,757.20"
NRIC,4/17/2025,1290,1318.1,1285,1290.41,-0.15%,"178,778.00","232,345,447.60"
NRIC,4/16/2025,1325,1325,1285,1292.35,-1.06%,"105,833.00","137,208,772.60"
NRIC,4/15/2025,1330,1330,1300,1306.15,0.12%,"94,449.00","124,236,710.70"
NRIC,4/13/2025,1335,1335,1296.6,1304.6,-1.39%,"137,789.00","180,608,420.90"
NRIC,4/10/2025,1365.1,1365.1,1316.4,1322.98,-1.15%,"107,520.00","143,228,537.90"
NRIC,4/9/2025,1307.9,1359,1307.9,1338.4,0.30%,"168,510.00","227,211,578.80"
NRIC,4/8/2025,1373.3,1373.3,1318.3,1334.41,-0.90%,"173,447.00","231,303,852.50"
NRIC,4/7/2025,1349.9,1365,1326.1,1346.47,0.03%,"245,583.00","331,768,565.80"
NRIC,4/3/2025,1296,1366.9,1296,1346.06,2.27%,"416,878.00","559,922,091.00"
NRIC,4/2/2025,1339,1339,1301,1316.21,0.19%,"139,449.00","184,491,097.60"
NRIC,4/1/2025,1342.6,1354,1303,1313.69,-2.15%,"202,139.00","266,635,307.60"
NRIC,3/30/2025,1300,1365,1290,1342.52,3.63%,"358,103.00","478,482,635.70"
NRIC,3/27/2025,1256,1310,1256,1295.47,1.11%,"208,669.00","270,769,289.30"
NRIC,3/26/2025,1262,1295,1237,1281.31,2.49%,"246,444.00","316,326,677.10"
NRIC,3/25/2025,1298.3,1298.3,1250,1250.18,-1.78%,"170,752.00","213,915,560.50"
NRIC,3/24/2025,1269,1282.1,1246,1272.85,1.12%,"102,725.00","129,622,045.10"
NRIC,3/23/2025,1278,1290,1241.9,1258.7,-1.50%,"276,219.00","348,272,216.60"
NRIC,3/20/2025,1280,1283,1267,1277.86,-0.33%,"221,127.00","282,128,237.20"
NRIC,3/19/2025,1280,1290,1265.2,1282.1,-0.55%,"134,451.00","171,811,720.60"
NRIC,3/18/2025,1297,1304.9,1275,1289.2,0.02%,"140,072.00","180,390,064.60"
