Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NTC,8/14/2025,882,882,873,876.08,0.17%,"9,640.00","8,439,227.20"
NTC,8/13/2025,873.1,882,865.3,874.58,0.18%,"12,725.00","11,142,625.45"
NTC,8/12/2025,871,885,871,872.99,-0.50%,"11,154.00","9,767,464.80"
NTC,8/11/2025,885.3,895,875,877.37,-0.35%,"23,274.00","20,497,922.40"
NTC,8/7/2025,883,888,879,880.49,0.04%,"19,454.00","17,143,710.00"
NTC,8/6/2025,897.1,897.1,873,880.16,0.07%,"13,624.00","11,982,440.30"
NTC,8/5/2025,895,904,879,879.54,-1.20%,"31,485.00","27,777,081.60"
NTC,8/4/2025,907.9,907.9,880,890.26,-0.26%,"27,496.00","24,371,199.20"
NTC,8/3/2025,910,910,891,892.57,-1.87%,"42,015.00","37,608,115.30"
NTC,7/31/2025,914,920,900.1,909.61,-0.71%,"28,517.00","25,975,319.00"
NTC,7/30/2025,932,938,912,916.16,-1.43%,"43,237.00","39,949,145.90"
NTC,7/29/2025,891.5,932,891.5,929.41,2.17%,"73,341.00","67,732,982.50"
NTC,7/28/2025,909.1,910,898,909.64,0.05%,"52,222.00","47,136,301.00"
NTC,7/27/2025,896.6,930,896.6,909.17,-0.62%,"45,350.00","41,543,840.70"
NTC,7/24/2025,928.9,928.9,907,914.85,-0.64%,"36,145.00","33,027,452.30"
NTC,7/23/2025,930,934,912,920.78,0.09%,"37,243.00","34,302,427.40"
NTC,7/22/2025,905,921,897,919.94,3.01%,"59,122.00","53,890,240.70"
NTC,7/21/2025,899,901,887,893.08,-0.23%,"35,423.00","31,644,629.20"
NTC,7/20/2025,899,912,885,895.16,0.48%,"60,959.00","54,891,602.50"
NTC,7/17/2025,881,894.9,881,890.89,1.55%,"47,478.00","42,135,268.80"
NTC,7/16/2025,874.2,885,868.8,877.27,0.35%,"20,939.00","18,388,703.70"
NTC,7/15/2025,862,875,862,874.18,1.35%,"21,895.00","19,045,375.70"
NTC,7/14/2025,860,868.9,858,862.55,0.42%,"22,127.00","19,081,810.60"
NTC,7/13/2025,860,877,854.1,858.96,0.66%,"27,361.00","23,508,600.30"
NTC,7/10/2025,851,855,849,853.3,0.80%,"20,896.00","17,809,605.80"
NTC,7/9/2025,843,850,842,846.55,0.18%,"11,850.00","10,042,625.60"
NTC,7/8/2025,850,850,844,845.03,-0.44%,"16,713.00","14,129,641.50"
NTC,7/7/2025,850,858.7,845,848.77,-0.29%,"12,972.00","11,025,125.90"
NTC,7/6/2025,860,860,848.3,851.24,0.62%,"27,701.00","23,605,125.10"
NTC,7/3/2025,861,866.6,844,846.03,-0.42%,"32,041.00","27,125,198.50"
NTC,7/2/2025,841.2,850,841.1,849.64,1.13%,"14,608.00","12,364,004.00"
NTC,7/1/2025,855.1,855.1,837,840.13,0.21%,"14,718.00","12,350,859.00"
NTC,6/30/2025,840,846.4,838,838.34,-0.25%,"12,222.00","10,268,111.60"
NTC,6/29/2025,840,848,838,840.48,0.07%,"11,399.00","9,578,063.00"
NTC,6/26/2025,843,850,839,839.88,-0.38%,"13,345.00","11,218,313.70"
NTC,6/25/2025,841,848,839.1,843.11,0.31%,"9,234.00","7,783,371.80"
NTC,6/24/2025,850,852,840,840.52,-0.25%,"9,432.00","7,950,349.00"
NTC,6/23/2025,840,850,838.1,842.62,0.51%,"5,467.00","4,607,729.40"
NTC,6/22/2025,845,851,838,838.36,-0.39%,"26,643.00","22,381,588.30"
NTC,6/19/2025,844.6,848,841,841.64,-0.35%,"17,033.00","14,355,733.80"
NTC,6/18/2025,846.1,850,844.3,844.6,-0.29%,"19,247.00","16,268,804.70"
NTC,6/17/2025,850,855,846.3,847.09,-0.34%,"10,717.00","9,092,595.70"
NTC,6/16/2025,850,863,848,849.96,0.18%,"13,435.00","11,433,313.10"
NTC,6/15/2025,870.9,870.9,848,848.46,-0.76%,"24,915.00","21,177,333.90"
NTC,6/12/2025,851,867.9,849,854.96,0.12%,"8,879.00","7,589,893.40"
NTC,6/11/2025,868,869,851,853.97,-1.61%,"18,021.00","15,448,195.80"
NTC,6/10/2025,840,877.9,840,867.97,3.54%,"416,831.00","359,175,395.20"
NTC,6/9/2025,850,851,835,838.29,-1.29%,"56,919.00","47,860,100.80"
NTC,6/8/2025,872.4,872.4,847.8,849.24,-0.72%,"31,928.00","27,162,961.50"
NTC,6/5/2025,867,867,854.3,855.37,-0.58%,"22,405.00","19,177,285.40"
NTC,6/4/2025,862,865.6,858.9,860.4,-0.22%,"26,338.00","22,642,486.30"
NTC,6/3/2025,866,866,861.2,862.32,-0.33%,"20,267.00","17,475,673.30"
NTC,6/2/2025,875,875,860,865.14,-1.10%,"40,156.00","34,822,585.70"
NTC,5/28/2025,875.2,885,870,874.75,-0.48%,"8,772.00","7,670,992.70"
NTC,5/27/2025,880,880,875,878.94,-0.06%,"5,051.00","4,429,089.00"
NTC,5/26/2025,888,897,879,879.45,-0.03%,"13,918.00","12,282,001.50"
NTC,5/25/2025,888,889,878,879.71,-0.01%,"14,683.00","12,963,271.50"
NTC,5/22/2025,879,888.4,871,879.77,0.77%,"129,924.00","113,687,231.80"
NTC,5/21/2025,885.5,898.8,870,873.04,0.42%,"22,417.00","19,650,723.70"
NTC,5/20/2025,865,870,852.5,869.4,0.53%,"21,691.00","18,772,273.50"
NTC,5/19/2025,865,870,837.9,864.85,-0.49%,"30,016.00","25,909,523.70"
NTC,5/18/2025,871,879,867.8,869.09,0.10%,"22,279.00","19,412,695.90"
NTC,5/15/2025,879,879,866,868.19,0.46%,"12,215.00","10,602,114.70"
NTC,5/14/2025,860.1,880,860.1,864.23,-0.45%,"22,012.00","19,084,274.00"
NTC,5/13/2025,875,885,865,868.18,-0.42%,"22,571.00","19,621,452.70"
NTC,5/11/2025,885,888.9,870,871.84,-0.49%,"20,086.00","17,604,038.50"
NTC,5/8/2025,894,894,873,876.14,-0.85%,"11,604.00","10,224,596.60"
NTC,5/7/2025,862.6,884,858,883.69,2.51%,"22,649.00","19,592,465.50"
NTC,5/6/2025,885,885,860,862.04,-1.34%,"40,324.00","35,010,019.00"
NTC,5/5/2025,876,883.9,872,873.71,-0.24%,"23,179.00","20,282,936.00"
NTC,5/4/2025,893.5,893.5,875,875.81,-0.04%,"21,824.00","19,149,115.60"
NTC,4/30/2025,900,900,874.9,876.13,-1.56%,"32,042.00","28,149,140.30"
NTC,4/29/2025,903,903,880,890.05,0.00%,"67,116.00","59,825,568.20"
NTC,4/28/2025,896,896,888,890.01,-0.51%,"21,672.00","19,311,258.00"
NTC,4/27/2025,894.8,900,892,894.57,0.36%,"9,998.00","8,941,549.70"
NTC,4/24/2025,891,895.3,890,891.37,0.11%,"13,876.00","12,361,187.10"
NTC,4/23/2025,906.4,906.4,890,890.39,-0.33%,"14,084.00","12,571,289.10"
NTC,4/22/2025,914,914,891,893.38,-0.40%,"11,526.00","10,324,419.20"
NTC,4/21/2025,890.1,904.7,890.1,896.99,-0.19%,"8,776.00","7,883,310.50"
NTC,4/20/2025,915,915,890,898.67,-0.45%,"33,331.00","29,814,962.70"
NTC,4/17/2025,910.5,910.5,887.1,902.74,1.13%,"10,391.00","9,381,422.60"
NTC,4/16/2025,903,904.9,881.1,892.68,-1.25%,"77,630.00","68,959,393.10"
NTC,4/15/2025,915,915,897.2,903.95,0.46%,"11,190.00","10,140,051.40"
NTC,4/13/2025,892.2,900,892.2,899.84,0.35%,"8,059.00","7,240,024.00"
NTC,4/10/2025,908.7,908.9,895,896.73,-0.40%,"19,670.00","17,674,153.20"
NTC,4/9/2025,914,914,900,900.34,0.41%,"12,518.00","11,307,031.70"
NTC,4/8/2025,895,901,891.1,896.64,-0.41%,"23,207.00","20,815,024.90"
NTC,4/7/2025,900,909.5,892,900.35,-0.14%,"12,613.00","11,343,017.40"
NTC,4/3/2025,909.9,909.9,900.2,901.57,-0.09%,"14,483.00","13,081,411.20"
NTC,4/2/2025,901.7,909.6,900.1,902.39,0.08%,"11,705.00","10,564,618.90"
NTC,4/1/2025,903,909.8,900,901.7,-0.29%,"8,809.00","7,951,254.50"
NTC,3/30/2025,901,915,900,904.29,0.42%,"23,704.00","21,521,342.50"
NTC,3/27/2025,906.8,907,890.1,900.47,0.78%,"9,185.00","8,281,981.80"
NTC,3/26/2025,905,905,888.1,893.51,0.40%,"13,062.00","11,682,097.60"
NTC,3/25/2025,920.5,920.5,885.1,889.97,-1.39%,"23,561.00","21,075,216.70"
NTC,3/24/2025,890.9,905,887,902.53,1.27%,"11,099.00","9,959,591.60"
NTC,3/23/2025,902,902.9,890,891.24,-1.12%,"21,537.00","19,342,978.50"
NTC,3/20/2025,921,921,900,901.37,-0.40%,"17,075.00","15,436,012.70"
NTC,3/19/2025,923,923,900,905,-0.22%,"12,317.00","11,124,890.70"
NTC,3/18/2025,923.1,923.1,903,907,0.22%,"16,538.00","15,010,424.60"
NTC,3/17/2025,909,919.9,900.1,905,-0.44%,"28,455.00","25,855,169.00"
NTC,3/16/2025,929.9,929.9,905,909,-0.66%,"19,225.00","17,508,867.80"
NTC,3/12/2025,904,916,904,915,1.23%,"24,898.00","22,635,912.60"
NTC,3/11/2025,918,922,901,903.9,-0.45%,"14,368.00","13,037,628.30"
NTC,3/10/2025,910,925,902.1,908,-0.22%,"15,290.00","13,948,857.60"
NTC,3/9/2025,928,933,905,910,-1.94%,"28,346.00","25,996,298.80"
NTC,3/6/2025,943.5,943.5,925,928,0.32%,"14,694.00","13,633,168.70"
NTC,3/5/2025,931,945,923.1,925,-1.70%,"28,910.00","26,893,835.80"
NTC,3/4/2025,982.2,982.2,935,941,-2.28%,"40,508.00","38,455,728.60"
NTC,3/3/2025,988.3,996.3,960.1,963,-0.62%,"67,669.00","66,183,620.20"
NTC,3/2/2025,925,974.1,925,969,4.87%,"85,156.00","81,184,072.30"
NTC,2/27/2025,926.1,926.1,917,924,0.99%,"31,979.00","29,481,945.20"
NTC,2/25/2025,920,926.9,910,914.9,-0.23%,"16,855.00","15,417,911.60"
NTC,2/24/2025,929,929,905,917,0.60%,"45,345.00","41,558,448.30"
NTC,2/23/2025,891.8,914.9,891.8,911.5,0.16%,"25,899.00","23,457,655.60"
NTC,2/20/2025,910,921,908,910,0.00%,"25,513.00","23,323,952.60"
NTC,2/18/2025,902,911.9,895.1,910,1.45%,"30,997.00","28,087,993.80"
NTC,2/17/2025,898.9,901,885,897,1.36%,"18,497.00","16,546,112.20"
NTC,2/16/2025,890,890,880.2,885,0.57%,"12,892.00","11,391,593.30"
NTC,2/13/2025,881,885,878.1,880,-0.11%,"16,608.00","14,623,922.90"
NTC,2/12/2025,880,890,876,881,-0.34%,"30,008.00","26,421,432.30"
NTC,2/11/2025,888,896.9,882,884,-0.45%,"16,770.00","14,884,239.80"
NTC,2/10/2025,900,900,885,888,-0.45%,"17,702.00","15,744,685.60"
NTC,2/9/2025,905,909.5,890,892,-1.01%,"16,984.00","15,238,614.60"
NTC,2/6/2025,907,907,900,901.1,-0.60%,"18,337.00","16,537,624.90"
NTC,2/5/2025,910,920,902,906.5,-0.38%,"30,104.00","27,306,098.90"
NTC,2/4/2025,929.1,929.1,909.9,910,-1.09%,"24,609.00","22,614,932.50"
NTC,2/3/2025,932.5,945,917,920,-0.76%,"26,153.00","24,320,064.50"
NTC,2/2/2025,924,927,910.5,927,2.21%,"31,213.00","28,671,854.80"
NTC,1/28/2025,916.9,916.9,900,907,0.61%,"11,351.00","10,248,688.30"
NTC,1/27/2025,911,913,899.9,901.5,-0.61%,"12,071.00","10,891,358.90"
NTC,1/26/2025,922,929,907,907,-1.52%,"17,074.00","15,635,610.50"
NTC,1/23/2025,920,934,920,921,0.46%,"26,075.00","24,120,163.30"
NTC,1/22/2025,890,917,889,916.8,3.59%,"32,509.00","29,463,934.00"
NTC,1/21/2025,892,892,880,885,0.67%,"12,751.00","11,259,357.80"
NTC,1/20/2025,892,892,879,879.1,0.01%,"11,172.00","9,876,828.60"
NTC,1/19/2025,878.1,885,874.1,879,0.10%,"11,594.00","10,179,093.50"
NTC,1/16/2025,875,885,875,878.1,0.47%,"10,441.00","9,159,643.30"
NTC,1/15/2025,891,898.9,874,874,-1.58%,"18,678.00","16,505,787.60"
NTC,1/13/2025,903,904,887.3,888,-1.34%,"21,784.00","19,423,527.60"
NTC,1/12/2025,925.1,925.1,900,900.1,-0.76%,"12,889.00","11,628,176.00"
NTC,1/9/2025,912,916,905,907,-0.55%,"23,532.00","21,432,742.50"
NTC,1/8/2025,920,929.9,910.5,912,-0.32%,"14,356.00","13,103,317.40"
NTC,1/7/2025,932,932,908,914.9,0.10%,"16,020.00","14,619,799.40"
NTC,1/6/2025,930,930,905,914,0.22%,"17,641.00","16,052,787.30"
NTC,1/5/2025,915.3,920,905,912,-0.76%,"24,125.00","21,967,715.70"
NTC,1/2/2025,931,931,916,919,-3.25%,"33,053.00","30,392,148.20"
