Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
SHIVM,8/14/2025,630,642,630,632.66,0.06%,"338,220.00","214,978,391.00"
SHIVM,8/13/2025,645.4,646,630.1,632.27,-0.08%,"376,940.00","240,045,319.60"
SHIVM,8/12/2025,640,648.7,629,632.79,-1.33%,"316,321.00","200,643,873.35"
SHIVM,8/11/2025,631,663,631,641.34,-0.34%,"830,323.00","538,860,957.70"
SHIVM,8/7/2025,618,655,618,643.52,2.26%,"572,355.00","369,383,617.10"
SHIVM,8/6/2025,636.4,636.4,618,629.3,0.85%,"385,091.00","241,991,866.30"
SHIVM,8/5/2025,635,652.59,621,623.98,-2.49%,"527,278.00","332,886,329.00"
SHIVM,8/4/2025,655.9,655.9,620,639.91,-0.49%,"686,268.00","436,488,058.50"
SHIVM,8/3/2025,661,665,640,643.05,-2.75%,"848,115.00","550,200,736.20"
SHIVM,7/31/2025,676.7,676.7,656,661.26,-0.33%,"1,008,251.00","671,123,215.30"
SHIVM,7/30/2025,690,695,660,663.48,-3.34%,"850,492.00","573,374,434.40"
SHIVM,7/29/2025,674.9,709,674.9,686.4,-0.33%,"716,074.00","495,120,501.00"
SHIVM,7/28/2025,670,690,657,688.64,3.09%,"1,375,211.00","925,782,760.10"
SHIVM,7/27/2025,628.7,690,628.7,668.01,4.14%,"1,528,991.00","1,020,335,923.90"
SHIVM,7/24/2025,652,658,634,641.48,-0.65%,"603,568.00","386,499,220.40"
SHIVM,7/23/2025,638.5,660,631.1,645.65,3.14%,"1,167,236.00","752,959,391.30"
SHIVM,7/22/2025,575,626,570.1,626,9.99%,"1,128,704.00","688,318,902.30"
SHIVM,7/21/2025,570,576.3,553,569.14,1.84%,"433,014.00","243,864,088.90"
SHIVM,7/20/2025,575,579.8,555,558.86,-1.49%,"472,374.00","268,744,286.60"
SHIVM,7/17/2025,542,570,542,567.29,6.03%,"568,742.00","318,816,724.90"
SHIVM,7/16/2025,525,545,525,535.04,2.15%,"245,961.00","131,890,387.50"
SHIVM,7/15/2025,529.6,529.6,516,523.76,0.86%,"100,605.00","52,596,647.30"
SHIVM,7/14/2025,524,527.1,518.5,519.27,-0.87%,"113,296.00","59,284,229.60"
SHIVM,7/13/2025,534.2,534.2,522.1,523.83,0.01%,"184,820.00","97,206,622.80"
SHIVM,7/10/2025,513.1,527,513.1,523.76,1.55%,"225,580.00","117,405,562.20"
SHIVM,7/9/2025,509.6,517,509.5,515.79,1.35%,"106,045.00","54,420,289.10"
SHIVM,7/8/2025,510,514.5,507.2,508.9,-0.32%,"86,109.00","43,845,156.80"
SHIVM,7/7/2025,525.2,525.2,510,510.55,-0.86%,"131,407.00","67,468,845.10"
SHIVM,7/6/2025,523,523.9,514,514.97,-0.72%,"117,576.00","60,765,015.70"
SHIVM,7/3/2025,514,520.3,511,518.72,1.13%,"178,295.00","92,091,796.40"
SHIVM,7/2/2025,510,515,508,512.91,0.96%,"116,120.00","59,377,419.70"
SHIVM,7/1/2025,508,509.9,502.6,508.05,0.86%,"59,461.00","30,116,231.20"
SHIVM,6/30/2025,500,509.4,500,503.74,0.47%,"79,340.00","40,083,889.10"
SHIVM,6/29/2025,495,504.9,495,501.38,0.07%,"102,693.00","51,491,592.20"
SHIVM,6/26/2025,510.8,510.8,500.1,501.05,-0.52%,"141,177.00","70,897,689.60"
SHIVM,6/25/2025,505,508,503,503.67,-0.07%,"84,699.00","42,725,767.60"
SHIVM,6/24/2025,514,514,503.5,504.01,-0.20%,"124,093.00","62,736,008.40"
SHIVM,6/23/2025,511.4,511.4,502.7,505.01,-0.25%,"150,450.00","75,986,915.00"
SHIVM,6/22/2025,522.9,522.9,505.1,506.27,-1.26%,"120,405.00","61,370,066.30"
SHIVM,6/19/2025,506,523.2,506,512.74,-0.49%,"200,176.00","102,895,064.50"
SHIVM,6/18/2025,519,520,510,515.28,0.03%,"272,255.00","140,236,769.20"
SHIVM,6/17/2025,523.8,525,514,515.15,-0.56%,"188,522.00","97,362,526.10"
SHIVM,6/16/2025,513.4,534.9,513.4,518.07,-1.05%,"281,710.00","148,241,278.60"
SHIVM,6/15/2025,520,530,512.4,523.59,1.65%,"426,857.00","222,226,124.10"
SHIVM,6/12/2025,516.1,519,511,515.07,-0.14%,"185,975.00","95,775,398.60"
SHIVM,6/11/2025,516.2,526,515,515.78,-0.58%,"153,113.00","79,229,226.60"
SHIVM,6/10/2025,527.5,527.5,517.6,518.81,0.31%,"116,535.00","60,518,107.20"
SHIVM,6/9/2025,515,523.8,513.4,517.21,0.36%,"106,266.00","54,909,536.00"
SHIVM,6/8/2025,520,520,514,515.37,-0.59%,"144,101.00","74,397,128.80"
SHIVM,6/5/2025,518,523.5,515,518.43,0.06%,"76,153.00","39,455,088.30"
SHIVM,6/4/2025,524.9,524.9,517.1,518.1,-0.45%,"105,554.00","54,865,546.00"
SHIVM,6/3/2025,532,532,518,520.44,-0.35%,"145,758.00","75,893,822.30"
SHIVM,6/2/2025,533.3,533.3,520.1,522.26,-0.13%,"142,260.00","74,618,787.80"
SHIVM,5/28/2025,525,530,520,522.92,0.15%,"108,308.00","56,548,051.80"
SHIVM,5/27/2025,524,525,519,522.14,-0.41%,"133,910.00","69,861,964.70"
SHIVM,5/26/2025,535.8,545,520,524.3,-0.20%,"215,547.00","113,193,110.00"
SHIVM,5/25/2025,536,536,523.5,525.33,-0.82%,"160,538.00","84,731,686.80"
SHIVM,5/22/2025,540.4,540.4,528.1,529.65,-0.24%,"104,051.00","55,368,936.60"
SHIVM,5/21/2025,549.4,560.3,530.1,530.93,-1.44%,"160,230.00","86,392,802.10"
SHIVM,5/20/2025,527,541,519.2,538.66,3.65%,"174,976.00","93,373,123.40"
